transaction_id,customer_id,amount,timestamp,merchant,category,location,device_type,is_fraud
TXN_0075722,CUST_00319,66.61,2026-02-12 09:02:37,Walmart,retail,"Mumbai, IN",mobile,0
TXN_0080185,CUST_00890,6.43,2026-02-17 19:50:24,Walmart,travel,"London, UK",mobile,0
TXN_0019865,CUST_00886,51.61,2026-01-25 18:03:37,Amazon,travel,"Mumbai, IN",pos_terminal,0
TXN_0076700,CUST_01067,93.19,2026-02-23 06:41:17,Apple,groceries,"Mumbai, IN",pos_terminal,0
TXN_0092992,CUST_00828,100.97,2026-01-27 11:45:56,Netflix,groceries,"London, UK",mobile,0
TXN_0076435,CUST_01880,36.55,2026-01-10 17:11:24,Apple,travel,"New York, US",desktop,0
TXN_0084005,CUST_01410,56.67,2026-01-08 21:09:37,Walmart,travel,"Mumbai, IN",desktop,0
TXN_0080918,CUST_00298,7.67,2026-01-21 17:25:12,Uber,travel,"London, UK",mobile,0
TXN_0060768,CUST_00289,21.99,2026-02-17 11:04:31,Walmart,entertainment,"London, UK",mobile,0
TXN_0050075,CUST_01994,56.17,2026-02-26 16:42:28,Amazon,entertainment,"New York, US",mobile,0
TXN_0027702,CUST_01857,107.84,2026-02-12 15:19:03,Netflix,retail,"New York, US",mobile,0
TXN_0042142,CUST_00913,65.33,2026-02-14 09:42:42,Netflix,travel,"Mumbai, IN",mobile,0
TXN_0045081,CUST_00731,55.07,2026-02-05 10:14:48,Apple,groceries,"Mumbai, IN",mobile,0
TXN_0016639,CUST_01202,32.08,2026-01-23 15:49:51,Gas Station,travel,"London, UK",mobile,0
TXN_0020425,CUST_01886,93.18,2026-02-09 11:41:45,Uber,retail,"New York, US",desktop,0
TXN_0088703,CUST_01986,10.26,2026-01-12 11:12:35,Apple,retail,"New York, US",desktop,0
TXN_0000150,CUST_00289,115.99,2026-02-26 11:43:58,Netflix,groceries,"Mumbai, IN",desktop,0
TXN_0001762,CUST_00151,78.32,2026-01-02 11:05:52,Uber,retail,"New York, US",mobile,0
TXN_0063121,CUST_00344,14.99,2026-01-12 07:13:50,Apple,groceries,"New York, US",desktop,0
TXN_0069162,CUST_01247,17.02,2026-02-13 17:20:51,Amazon,retail,"Mumbai, IN",mobile,0
TXN_0064884,CUST_00545,151.65,2026-02-17 14:41:41,Uber,travel,"London, UK",desktop,0
TXN_0002496,CUST_00592,6.19,2026-01-19 07:12:34,Gas Station,entertainment,"New York, US",pos_terminal,0
TXN_0080297,CUST_01781,150.55,2026-02-28 15:18:40,Uber,travel,"Mumbai, IN",mobile,0
TXN_0019448,CUST_01140,96.92,2026-01-20 09:17:04,Walmart,groceries,"New York, US",desktop,0
TXN_0041332,CUST_01642,7.65,2026-02-07 06:51:36,Apple,travel,"Mumbai, IN",desktop,0
TXN_0014889,CUST_01797,83.0,2026-02-25 16:10:21,Amazon,retail,"London, UK",mobile,0
TXN_0088637,CUST_01511,66.52,2026-01-16 21:10:05,Walmart,groceries,"London, UK",mobile,0
TXN_0094893,CUST_00562,8.79,2026-01-19 13:19:42,Amazon,retail,"London, UK",desktop,0
TXN_0092732,CUST_00773,6.95,2026-01-23 20:48:22,Uber,entertainment,"New York, US",mobile,0
TXN_0029131,CUST_01816,9.46,2026-02-04 22:14:01,Netflix,groceries,"London, UK",mobile,0
TXN_0079023,CUST_00025,138.71,2026-01-03 16:29:01,Amazon,travel,"New York, US",desktop,0
TXN_0084937,CUST_01096,9.19,2026-01-27 07:50:16,Apple,retail,"London, UK",mobile,0
TXN_0016822,CUST_01942,44.94,2026-02-28 14:29:06,Uber,travel,"Mumbai, IN",mobile,0
TXN_0036734,CUST_01674,166.64,2026-01-17 10:39:57,Walmart,retail,"Mumbai, IN",mobile,0
TXN_0015603,CUST_00544,13.79,2026-01-20 09:59:13,Apple,groceries,"Mumbai, IN",pos_terminal,0
TXN_0028534,CUST_01803,163.32,2026-01-29 08:14:27,Gas Station,travel,"New York, US",mobile,0
TXN_0069770,CUST_01215,17.99,2026-01-04 12:51:04,Uber,retail,"New York, US",pos_terminal,0
TXN_0011406,CUST_00811,81.95,2026-01-31 16:22:59,Amazon,retail,"London, UK",desktop,0
TXN_0096853,CUST_01118,54.43,2026-01-20 20:15:11,Netflix,entertainment,"London, UK",pos_terminal,0
TXN_0016131,CUST_01810,75.44,2026-01-17 15:42:40,Uber,entertainment,"London, UK",mobile,0
TXN_0019793,CUST_01051,91.09,2026-02-08 18:12:41,Uber,entertainment,"London, UK",mobile,0
TXN_0089578,CUST_00851,30.3,2026-02-04 21:24:44,Gas Station,groceries,"New York, US",mobile,0
TXN_0040164,CUST_01850,64.41,2026-02-03 22:43:06,Uber,retail,"London, UK",mobile,0
TXN_0031777,CUST_00661,26.38,2026-02-06 20:21:57,Netflix,groceries,"Mumbai, IN",mobile,0
TXN_0025331,CUST_01114,8.69,2026-02-24 16:51:51,Amazon,travel,"Mumbai, IN",mobile,0
TXN_0079157,CUST_01406,7.83,2026-02-22 12:07:58,Amazon,groceries,"Mumbai, IN",mobile,0
TXN_0051686,CUST_01248,30.37,2026-01-29 22:18:26,Uber,retail,"Mumbai, IN",desktop,0
TXN_0075499,CUST_01080,226.87,2026-01-17 06:32:38,Apple,travel,"Mumbai, IN",mobile,0
TXN_0004728,CUST_00245,32.93,2026-02-24 09:33:27,Amazon,entertainment,"London, UK",desktop,0
TXN_0085199,CUST_00680,45.0,2026-01-20 13:12:28,Amazon,retail,"London, UK",pos_terminal,0
TXN_0035796,CUST_01507,12.0,2026-02-12 18:46:40,Gas Station,groceries,"Mumbai, IN",mobile,0
TXN_0012257,CUST_01373,60.95,2026-01-10 06:52:11,Walmart,groceries,"Mumbai, IN",mobile,0
TXN_0035719,CUST_01940,6.03,2026-01-20 18:35:52,Amazon,travel,"New York, US",mobile,0
TXN_0070552,CUST_00379,19.84,2026-02-19 18:30:59,Walmart,retail,"New York, US",mobile,0
TXN_0054375,CUST_00214,18.35,2026-01-11 09:00:38,Amazon,travel,"London, UK",desktop,0
TXN_0039692,CUST_01551,68.5,2026-01-03 14:07:46,Gas Station,entertainment,"London, UK",desktop,0
TXN_0093703,CUST_01601,68.12,2026-01-25 06:13:51,Walmart,entertainment,"London, UK",mobile,0
TXN_0073692,CUST_01128,126.9,2026-01-22 09:30:37,Apple,retail,"New York, US",pos_terminal,0
TXN_0098071,CUST_01195,109.16,2026-01-24 22:42:03,Amazon,groceries,"London, UK",desktop,0
TXN_0000576,CUST_00993,39.92,2026-02-11 15:40:27,Apple,groceries,"New York, US",desktop,0
TXN_0084611,CUST_01374,113.01,2026-02-04 08:40:14,Amazon,retail,"London, UK",desktop,0
TXN_0061770,CUST_01121,47.96,2026-02-27 06:51:58,Apple,travel,"New York, US",mobile,0
TXN_0032261,CUST_00656,14.44,2026-02-28 16:50:44,Apple,travel,"New York, US",mobile,0
TXN_0082200,CUST_01094,21.19,2026-02-15 20:43:27,Amazon,groceries,"London, UK",desktop,0
TXN_0036291,CUST_01583,86.6,2026-01-17 22:46:31,Uber,travel,"London, UK",mobile,0
TXN_0078450,CUST_01063,101.34,2026-02-23 07:52:21,Netflix,groceries,"Mumbai, IN",desktop,0
TXN_0060056,CUST_01999,12.06,2026-01-03 17:06:41,Amazon,retail,"London, UK",mobile,0
TXN_0045949,CUST_00694,107.27,2026-01-23 07:24:57,Apple,entertainment,"Mumbai, IN",mobile,0
TXN_0028178,CUST_00500,17.47,2026-01-15 07:33:17,Uber,entertainment,"Mumbai, IN",desktop,0
TXN_0084464,CUST_00128,121.24,2026-01-05 17:34:40,Netflix,groceries,"Mumbai, IN",desktop,0
TXN_0000579,CUST_01596,97.98,2026-02-19 19:52:26,Uber,entertainment,"New York, US",desktop,0
TXN_0030960,CUST_00680,110.5,2026-02-26 21:22:06,Gas Station,groceries,"New York, US",mobile,0
